insider,title,transaction_date,filing_date,shares,price,value_usd,acquired_disposed,transaction_code,shares_owned_after,is_10b5_1,is_director,is_officer,accession,source_path
DiPerna Dino,SVP Global R&D,2026-01-15,2026-01-16,2527,246.23,622223.21,D,S,47341,True,False,True,0001998460-26-000002,https://www.sec.gov/Archives/edgar/data/936395/000199846026000002/0001998460-26-000002.txt
GALLAGHER PATRICK,,2026-01-12,2026-01-13,11618,227.4476,2642486.22,D,S,50184,True,True,False,0001221168-26-000002,https://www.sec.gov/Archives/edgar/data/936395/000122116826000002/0001221168-26-000002.txt
Cumello Joseph,"SVP, General Mgr. Blue Planet",2026-01-12,2026-01-13,11929,229.8207,2741531.13,D,S,49475,True,False,True,0001963638-26-000002,https://www.sec.gov/Archives/edgar/data/936395/000196363826000002/0001963638-26-000002.txt
Rothenstein David M,SVP and Chief Strategy Officer,2026-01-09,2026-01-13,2500,219.28,548200.0,D,S,202194,True,False,True,0001444157-26-000005,https://www.sec.gov/Archives/edgar/data/936395/000144415726000005/0001444157-26-000005.txt
SMITH GARY B,"President, CEO",2026-01-05,2026-01-06,83552,229.4399,19170162.52,D,S,307885,True,True,True,0001032553-26-000002,https://www.sec.gov/Archives/edgar/data/936395/000103255326000002/0001032553-26-000002.txt
Kosaraju Sheela,SVP and General Counsel,2026-01-02,2026-01-06,1748,241.0,421268.0,D,S,96513,True,False,True,0001963781-26-000002,https://www.sec.gov/Archives/edgar/data/936395/000196378126000002/0001963781-26-000002.txt
SMITH GARY B,"President, CEO",2025-12-22,2025-12-29,6800,233.4622,1587542.96,D,S,391437,True,True,True,0001032553-25-000060,https://www.sec.gov/Archives/edgar/data/936395/000103255325000060/0001032553-25-000060.txt
SMITH GARY B,"President, CEO",2025-12-20,2025-12-23,2985,230.34,687564.9,D,F,494437,False,True,True,0001032553-25-000058,https://www.sec.gov/Archives/edgar/data/936395/000103255325000058/0001032553-25-000058.txt
SMITH GARY B,"President, CEO",2025-12-20,2025-12-23,3102,230.34,714514.68,D,F,491335,False,True,True,0001032553-25-000058,https://www.sec.gov/Archives/edgar/data/936395/000103255325000058/0001032553-25-000058.txt
SMITH GARY B,"President, CEO",2025-12-20,2025-12-23,1743,230.34,401482.62,D,F,489592,False,True,True,0001032553-25-000058,https://www.sec.gov/Archives/edgar/data/936395/000103255325000058/0001032553-25-000058.txt
SMITH GARY B,"President, CEO",2025-12-20,2025-12-23,1658,230.34,381903.72,D,F,487934,False,True,True,0001032553-25-000058,https://www.sec.gov/Archives/edgar/data/936395/000103255325000058/0001032553-25-000058.txt
SMITH GARY B,"President, CEO",2025-12-20,2025-12-23,57301,230.34,13198712.34,D,F,430633,False,True,True,0001032553-25-000058,https://www.sec.gov/Archives/edgar/data/936395/000103255325000058/0001032553-25-000058.txt
