2026-06-03T18:18:17.674951 Starting download for CBOE
2026-06-03T18:19:51.689164 OK 4,375,318 bytes -> /workspace/CBOE/investor-documents/ir-cboe/annual-report-2019.pdf
2026-06-03T18:19:52.217462 OK 8,780,204 bytes -> /workspace/CBOE/investor-documents/ir-cboe/2020-annual-report-final.pdf
2026-06-03T18:19:53.346609 OK 2,230,656 bytes -> /workspace/CBOE/investor-documents/ir-cboe/q1-20-earnings-presentation.pdf
2026-06-03T18:19:54.042061 OK 396,414 bytes -> /workspace/CBOE/investor-documents/ir-cboe/q1-20-prepared-remarks.pdf
2026-06-03T18:19:54.498143 OK 274,971 bytes -> /workspace/CBOE/investor-documents/ir-cboe/q1-20-press-re.pdf
2026-06-03T18:19:55.354351 OK 1,752,830 bytes -> /workspace/CBOE/investor-documents/ir-cboe/q2-20-earnings-call-slides-final-v2.pdf
2026-06-03T18:19:56.019964 OK 649,286 bytes -> /workspace/CBOE/investor-documents/ir-cboe/q2-20-prepared-remarks.pdf
2026-06-03T18:19:56.722434 OK 690,757 bytes -> /workspace/CBOE/investor-documents/ir-cboe/q2-20-press-re.pdf
2026-06-03T18:19:57.406980 OK 273,486 bytes -> /workspace/CBOE/investor-documents/ir-cboe/Q3-20-Prepared-Remarks.pdf
2026-06-03T18:19:58.190028 OK 1,164,524 bytes -> /workspace/CBOE/investor-documents/ir-cboe/q3-20-earnings-call-slides-v2.pdf
2026-06-03T18:19:58.832106 OK 203,269 bytes -> /workspace/CBOE/investor-documents/ir-cboe/q3-20-press-re.pdf
2026-06-03T18:19:59.452700 OK 274,728 bytes -> /workspace/CBOE/investor-documents/ir-cboe/q4-20-prepared-remarks.pdf
2026-06-03T18:20:00.128722 OK 975,939 bytes -> /workspace/CBOE/investor-documents/ir-cboe/q4-20-presentation-4pm.pdf
2026-06-03T18:20:00.636368 OK 593,177 bytes -> /workspace/CBOE/investor-documents/ir-cboe/q4-20-press-re.pdf
2026-06-03T18:20:03.088816 OK 9,686,914 bytes -> /workspace/CBOE/investor-documents/ir-cboe/2021-annual-report.pdf
2026-06-03T18:20:03.837541 OK 949,776 bytes -> /workspace/CBOE/investor-documents/ir-cboe/Q1-21-PRESE.pdf
2026-06-03T18:20:04.549309 OK 515,707 bytes -> /workspace/CBOE/investor-documents/ir-cboe/Q1-21-PRESS-RE.pdf
2026-06-03T18:20:05.143189 OK 261,862 bytes -> /workspace/CBOE/investor-documents/ir-cboe/Q1-21-TRANSCRIOT.pdf
2026-06-03T18:20:05.884864 OK 1,084,146 bytes -> /workspace/CBOE/investor-documents/ir-cboe/q2-21-prese.pdf
2026-06-03T18:20:06.379612 OK 560,119 bytes -> /workspace/CBOE/investor-documents/ir-cboe/q2-21-press-re.pdf
2026-06-03T18:20:06.966253 OK 282,014 bytes -> /workspace/CBOE/investor-documents/ir-cboe/q2-21-transcript.pdf
2026-06-03T18:20:07.957291 OK 2,207,622 bytes -> /workspace/CBOE/investor-documents/ir-cboe/q3-21-prese.pdf
2026-06-03T18:20:08.515769 OK 892,390 bytes -> /workspace/CBOE/investor-documents/ir-cboe/q3-21-press-re.pdf
