fund_id,fund,manager,quarter,letter_date,source_file,source_document
gator-gfp-combined,Gator Gfp Combined,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Gator 20260428 GFP Q1 Letter-combined.txt,_system/reference/superinvestor-letters/2026Q1/Gator 20260428 GFP Q1 Letter-combined.pdf
gotham-t222,Gotham T222.,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Gotham Q1_2026_Letter_T222.2603.txt,_system/reference/superinvestor-letters/2026Q1/Gotham Q1_2026_Letter_T222.2603.pdf
grand-slam-results,Grand Slam Results,,2026Q1,2026-02-28,_system/reference/superinvestor-letters/2026Q1/Grand Slam - Feb 2026 - Results Letter.txt,_system/reference/superinvestor-letters/2026Q1/Grand Slam - Feb 2026 - Results Letter.pdf
grand-slam-results,Grand Slam Results,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Grand Slam - March 2026 - Results Letter.txt,_system/reference/superinvestor-letters/2026Q1/Grand Slam - March 2026 - Results Letter.pdf
greenlight-2026q1,Greenlight 2026q1,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Greenlight Capital 2026Q1 -.txt,_system/reference/superinvestor-letters/2026Q1/Greenlight Capital 2026Q1 -.pdf
greenlight-seeking-alpha,Greenlight Seeking Alpha,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Greenlight Capital Q1 2026 Letter (NASDAQ _ GLRE) _ Seeking Alpha.txt,_system/reference/superinvestor-letters/2026Q1/Greenlight Capital Q1 2026 Letter (NASDAQ _ GLRE) _ Seeking Alpha.pdf
greystone,Greystone,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Greystone Q1 2026.txt,_system/reference/superinvestor-letters/2026Q1/Greystone Q1 2026.pdf
grizzlyrock,Grizzlyrock,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/GrizzlyRock_Q1_2026_Investor_Letter.txt,_system/reference/superinvestor-letters/2026Q1/GrizzlyRock_Q1_2026_Investor_Letter.pdf
gumshoe-hypoport-write-up,Gumshoe Hypoport Write Up,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Gumshoe Capital Hypoport Write-up 2026.02.02.txt,_system/reference/superinvestor-letters/2026Q1/Gumshoe Capital Hypoport Write-up 2026.02.02.pdf
gumshoe,Gumshoe,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Gumshoe.txt,_system/reference/superinvestor-letters/2026Q1/Gumshoe.pdf
hawk-ridge,Hawk Ridge,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Hawk Ridge.txt,_system/reference/superinvestor-letters/2026Q1/Hawk Ridge.pdf
hedge-alert,Hedge Alert,,2026Q1,2026-03-04,_system/reference/superinvestor-letters/2026Q1/Hedge Fund Alert 03.04.26.txt,_system/reference/superinvestor-letters/2026Q1/Hedge Fund Alert 03.04.26.pdf
heights-point-1q26-partner,Heights Point 1q26 Partner,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Heights Point 1Q26 Partner Letter.txt,_system/reference/superinvestor-letters/2026Q1/Heights Point 1Q26 Partner Letter.pdf
hel-ved-master,Hel Ved Master,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Hel Ved Master Fund Newsletter Feb_2026.txt,_system/reference/superinvestor-letters/2026Q1/Hel Ved Master Fund Newsletter Feb_2026.pdf
hel-ved-master,Hel Ved Master,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/Hel Ved Master Fund Newsletter Jan_2026.txt,_system/reference/superinvestor-letters/2026Q1/Hel Ved Master Fund Newsletter Jan_2026.pdf
hfa,Hfa,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/HFA-011426.txt,_system/reference/superinvestor-letters/2026Q1/HFA-011426.pdf
hfa,Hfa,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/HFA-012826.txt,_system/reference/superinvestor-letters/2026Q1/HFA-012826.pdf
hfa,Hfa,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/HFA-021126.txt,_system/reference/superinvestor-letters/2026Q1/HFA-021126.pdf
hfa,Hfa,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/HFA-021826.txt,_system/reference/superinvestor-letters/2026Q1/HFA-021826.pdf
hfa,Hfa,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/HFA-022526.txt,_system/reference/superinvestor-letters/2026Q1/HFA-022526.pdf
hfa,Hfa,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/HFA-031826.txt,_system/reference/superinvestor-letters/2026Q1/HFA-031826.pdf
hfa,Hfa,,2026Q1,2026-03-31,_system/reference/superinvestor-letters/2026Q1/HFA-032526.txt,_system/reference/superinvestor-letters/2026Q1/HFA-032526.pdf
