Date,nikkei,topix,value_pbr,growth,reit,leveraged,usdjpy,value_spread
2023-11-28 15:00:00,33381.625,2458.91015625,955.0639038085938,558.9000244140625,1686.5087890625,20925.0,,
2023-11-29 00:00:00,,,,,,,147.06300354003906,
2023-11-29 15:00:00,33546.16015625,2471.356689453125,956.0094604492188,555.5999755859375,1699.55078125,21120.0,,
2023-11-30 00:00:00,,,,,,,147.03900146484375,
2023-11-30 15:00:00,33526.8046875,2479.322509765625,964.5199584960938,544.5999755859375,1677.963623046875,21085.0,,
2023-12-01 00:00:00,,,,,,,147.99899291992188,
2023-12-03 15:00:00,33275.15625,2456.421142578125,955.0639038085938,555.5,1678.4134521484375,20795.0,,
2023-12-04 00:00:00,,,,,,,146.39300537109375,
2023-12-04 15:00:00,32858.9765625,2436.009033203125,948.4446411132812,540.2000122070312,1680.662109375,20250.0,,
2023-12-05 00:00:00,,,,,,,147.32699584960938,
2023-12-05 15:00:00,33497.765625,2485.296630859375,963.5742797851562,542.9000244140625,1684.2598876953125,21070.0,,
2023-12-06 00:00:00,,,,,,,147.18499755859375,
2023-12-06 15:00:00,32955.76171875,2453.931884765625,956.0094604492188,530.0,1673.4664306640625,20350.0,,
2023-12-07 00:00:00,,,,,,,147.1840057373047,
2023-12-07 15:00:00,32375.04296875,2414.103515625,943.716552734375,524.5,1672.1173095703125,19605.0,,
2023-12-08 00:00:00,,,,,,,144.2779998779297,
2023-12-10 15:00:00,32868.65625,2452.93603515625,958.8463134765625,524.7000122070312,1680.662109375,20260.0,,
2023-12-11 00:00:00,,,,,,,144.98300170898438,
2023-12-11 15:00:00,32897.69140625,2448.455322265625,950.3358154296875,513.0,1677.513916015625,20265.0,,
2023-12-12 00:00:00,,,,,,,146.0850067138672,
2023-12-12 15:00:00,33013.8359375,2449.948974609375,950.3358154296875,517.5999755859375,1674.8155517578125,20380.0,,
2023-12-13 00:00:00,,,,,,,145.27999877929688,
2023-12-13 15:00:00,32752.51171875,2415.596923828125,927.6412353515625,518.7999877929688,1678.8631591796875,20075.0,,
2023-12-14 00:00:00,,,,,,,142.7729949951172,
2023-12-14 15:00:00,33042.87109375,2428.043212890625,930.4780883789062,528.4000244140625,1672.56689453125,20470.0,,
2023-12-15 00:00:00,,,,,,,142.2790069580078,
2023-12-17 15:00:00,32829.94140625,2409.62255859375,923.8588256835938,525.5999755859375,1655.9267578125,20185.0,,
2023-12-18 00:00:00,,,,,,,142.31300354003906,
2023-12-18 15:00:00,33275.15625,2428.541015625,926.6956176757812,534.7000122070312,1646.0325927734375,20705.0,,
2023-12-19 00:00:00,,,,,,,142.7220001220703,
2023-12-19 15:00:00,33778.44921875,2446.961669921875,931.4236450195312,536.7000122070312,1667.1697998046875,21350.0,,
2023-12-20 00:00:00,,,,,,,143.88900756835938,
2023-12-20 15:00:00,33188.05078125,2421.571044921875,922.9132080078125,530.2999877929688,1647.3817138671875,20610.0,,
2023-12-21 00:00:00,,,,,,,143.5229949951172,
2023-12-21 15:00:00,33236.4453125,2431.0302734375,930.4780883789062,528.0999755859375,1646.0325927734375,20645.0,,
2023-12-22 00:00:00,,,,,,,142.07000732421875,
2023-12-24 15:00:00,33342.91015625,2432.0263671875,925.75,525.2999877929688,1634.7890625,20790.0,,
2023-12-25 00:00:00,,,,,,,142.3419952392578,
2023-12-25 15:00:00,33342.91015625,2432.524169921875,926.6956176757812,527.4000244140625,1634.7890625,20810.0,,
2023-12-26 00:00:00,,,,,,,142.22999572753906,
2023-12-26 15:00:00,33749.4140625,2460.404052734375,935.2060546875,539.7999877929688,1646.482177734375,21320.0,,
2023-12-27 00:00:00,,,,,,,142.46099853515625,
2023-12-27 15:00:00,33681.6640625,2458.91015625,936.1517333984375,552.0,1662.2230224609375,21185.0,,
2023-12-28 00:00:00,,,,,,,141.3990020751953,
2023-12-28 15:00:00,33546.16015625,2463.888916015625,938.0429077148438,550.2999877929688,1673.0167236328125,21055.0,,
2023-12-29 00:00:00,,,,,,,141.42999267578125,
2024-01-01 00:00:00,,,,,,,140.95199584960938,
2024-01-02 00:00:00,,,,,,,141.12600708007812,
2024-01-03 00:00:00,,,,,,,142.15499877929688,
2024-01-03 15:00:00,33400.98046875,2476.335205078125,955.0639038085938,553.7000122070312,1664.02197265625,20880.0,,
2024-01-04 00:00:00,,,,,,,142.99899291992188,
2024-01-04 15:00:00,33536.484375,2491.27099609375,968.3023681640625,542.7000122070312,1688.3076171875,21010.0,,
2024-01-05 00:00:00,,,,,,,144.76499938964844,
2024-01-08 00:00:00,,,,,,,144.71600341796875,
2024-01-08 15:00:00,33904.26953125,2511.185302734375,967.3567504882812,548.4000244140625,1686.5087890625,21490.0,,
2024-01-09 00:00:00,,,,,,,144.22999572753906,
2024-01-09 15:00:00,34601.1328125,2545.03955078125,973.0304565429688,548.5999755859375,1686.9586181640625,22375.0,,
2024-01-10 00:00:00,,,,,,,144.42799377441406,
2024-01-10 15:00:00,35220.5625,2584.867919921875,984.377685546875,550.7000122070312,1673.916015625,23195.0,,
2024-01-11 00:00:00,,,,,,,145.73399353027344,
2024-01-11 15:00:00,35704.49609375,2597.314208984375,980.5952758789062,550.7999877929688,1697.5435791015625,23825.0,,
2024-01-12 00:00:00,,,,,,,145.04600524902344,
2024-01-14 15:00:00,35791.60546875,2609.7607421875,990.0513305664062,547.5,1705.7222900390625,23915.0,,
2024-01-15 00:00:00,,,,,,,145.1490020751953,
2024-01-15 15:00:00,35801.28125,2610.258544921875,992.88818359375,547.7999877929688,1702.541748046875,23910.0,,
2024-01-16 00:00:00,,,,,,,145.79400634765625,
2024-01-16 15:00:00,35636.74609375,2597.314208984375,991.9425659179688,535.5999755859375,1685.72998046875,23690.0,,
2024-01-17 00:00:00,,,,,,,147.24600219726562,
2024-01-17 15:00:00,35588.3515625,2594.3271484375,990.9969482421875,531.4000244140625,1672.552978515625,23660.0,,
2024-01-18 00:00:00,,,,,,,148.1179962158203,
2024-01-18 15:00:00,36120.67578125,2613.24560546875,992.88818359375,540.7999877929688,1685.72998046875,24340.0,,
2024-01-19 00:00:00,,,,,,,148.1280059814453,
2024-01-21 15:00:00,36711.07421875,2652.078369140625,1007.0723266601562,552.2000122070312,1710.2659912109375,25155.0,,
2024-01-22 00:00:00,,,,,,,148.12100219726562,
2024-01-22 15:00:00,36672.36328125,2648.095703125,1003.2898559570312,548.2999877929688,1705.7222900390625,25080.0,,
2024-01-23 00:00:00,,,,,,,148.14199829101562,
2024-01-23 15:00:00,36362.640625,2632.662109375,1010.854736328125,551.4000244140625,1694.8172607421875,24650.0,,
2024-01-24 00:00:00,,,,,,,148.25100708007812,
2024-01-24 15:00:00,36391.6796875,2635.6494140625,1013.6915283203125,558.0,1678.9141845703125,24725.0,,
2024-01-25 00:00:00,,,,,,,147.59100341796875,
2024-01-25 15:00:00,35878.7109375,2600.79931640625,1000.4530639648438,557.0,1679.3685302734375,24035.0,,
2024-01-26 00:00:00,,,,,,,147.72300720214844,
2024-01-28 15:00:00,36178.75,2632.1640625,1015.582763671875,553.0999755859375,1679.822998046875,24405.0,,
