date,ticker,shares,nav_jpy,aum_jpym,aum_method,tag,creation_unit_shares,redemption_unit_shares
2021-01-13,1551.T,,5241.005859375,13514.18115856174,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-01-14,1551.T,,5144.48681640625,13265.302247350935,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-01-15,1551.T,,5096.2265625,13140.860903161134,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-01-18,1551.T,,5115.53125,13190.638951704572,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-01-19,1551.T,,5076.92333984375,13091.086631786491,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-01-20,1551.T,,5067.271484375,13066.198866571038,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-01-21,1551.T,,5096.2265625,13140.860903161134,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-01-22,1551.T,,5076.92333984375,13091.086631786491,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-01-25,1551.T,,5096.2265625,13140.860903161134,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-01-26,1551.T,,5057.619140625,13041.309842299319,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-01-27,1551.T,,5009.35986328125,12916.87101622205,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-01-28,1551.T,,4903.18798828125,12643.10182168326,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-01-29,1551.T,,4883.8837890625,12593.325032196086,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-02-01,1551.T,,4922.49169921875,12692.877352114168,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-02-02,1551.T,,5019.01171875,12941.758781437504,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-02-03,1551.T,,5019.01171875,12941.758781437504,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-02-04,1551.T,,4912.83984375,12667.989586898713,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-02-05,1551.T,,4874.232421875,12568.438526036898,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-02-08,1551.T,,4961.10009765625,12792.430931088515,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-02-09,1551.T,,4999.70751953125,12891.981991950332,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-02-10,1551.T,,4990.0556640625,12867.094226734876,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-02-12,1551.T,,5019.01171875,12941.758781437504,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-02-15,1551.T,,5086.57470703125,13115.97313794568,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-02-16,1551.T,,5028.66357421875,12966.646546652957,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-02-17,1551.T,,5047.96728515625,13016.422077083864,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-02-18,1551.T,,4932.14404296875,12717.766376385887,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-02-19,1551.T,,4941.7958984375,12742.65414160134,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-02-22,1551.T,,5038.3154296875,12991.53431186841,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-02-24,1551.T,,4932.14404296875,12717.766376385887,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-02-25,1551.T,,4912.83984375,12667.989586898713,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
2021-02-26,1551.T,,4903.18798828125,12643.10182168326,[Filing/Derived],[Filing/Derived],"16,000（注2）","16,000（注2）"
