2026-07-10T10:30:20.041885 Starting download for XEL
2026-07-10T17:33:39.268461 OK 268,615 bytes -> /workspace/XEL/investor-documents/ir-xel/2014-Year-End-Earnings-Report-Presentation.pdf
2026-07-10T17:33:40.156145 OK 4,222,677 bytes -> /workspace/XEL/investor-documents/ir-xel/Xcel_Energy-AR2015-1.pdf
2026-07-10T17:33:40.724375 OK 375,855 bytes -> /workspace/XEL/investor-documents/ir-xel/2015-First-Quarter-Earnings-Report-Presentation.pdf
2026-07-10T17:33:41.500126 OK 1,155,646 bytes -> /workspace/XEL/investor-documents/ir-xel/Q2-2015-Earnings-Presentation.pdf
2026-07-10T17:33:42.206957 OK 1,102,480 bytes -> /workspace/XEL/investor-documents/ir-xel/2015-Third-Quarter-Earnings-Report-Presentation.pdf
2026-07-10T17:33:42.841278 OK 1,188,080 bytes -> /workspace/XEL/investor-documents/ir-xel/2015-Year-End-Earnings-Report-Presentation.pdf
2026-07-10T17:33:43.890331 OK 4,119,195 bytes -> /workspace/XEL/investor-documents/ir-xel/Xcel_Energy-AR2016.pdf
2026-07-10T17:33:44.626449 OK 1,190,248 bytes -> /workspace/XEL/investor-documents/ir-xel/2016-First-Quarter-Earnings-Report-Presentation.pdf
2026-07-10T17:33:45.282150 OK 607,647 bytes -> /workspace/XEL/investor-documents/ir-xel/2016-Second-Quarter-Earnings-Report-Presentation.pdf
2026-07-10T17:33:45.994586 OK 653,393 bytes -> /workspace/XEL/investor-documents/ir-xel/2016-Third-Quarter-Earnings-Report-Presentation.pdf
2026-07-10T17:33:46.592570 OK 584,860 bytes -> /workspace/XEL/investor-documents/ir-xel/2016-Year-End-Earnings-Report-Presentation.pdf
2026-07-10T17:33:47.925399 OK 5,769,593 bytes -> /workspace/XEL/investor-documents/ir-xel/Xcel_Energy-AR2017.pdf
2026-07-10T17:33:48.733501 OK 810,303 bytes -> /workspace/XEL/investor-documents/ir-xel/2017-First-Quarter-Earnings-Report-Presentation.pdf
2026-07-10T17:33:49.426257 OK 857,891 bytes -> /workspace/XEL/investor-documents/ir-xel/2017-Second-Quarter-Earnings-Report-Presentation.pdf
2026-07-10T17:33:50.070941 OK 713,218 bytes -> /workspace/XEL/investor-documents/ir-xel/2017-Third-Quarter-Earnings-Report-Presentation.pdf
2026-07-10T17:33:50.735355 OK 701,859 bytes -> /workspace/XEL/investor-documents/ir-xel/2017-Year-End-Earnings-Report-Presentation.pdf
2026-07-10T17:33:52.444221 OK 10,236,275 bytes -> /workspace/XEL/investor-documents/ir-xel/Xcel_Energy-AR2018.pdf
2026-07-10T17:33:53.453361 OK 3,994,359 bytes -> /workspace/XEL/investor-documents/ir-xel/Xcel_Energy-AR2019.pdf
2026-07-10T17:33:54.025173 OK 158,973 bytes -> /workspace/XEL/investor-documents/ir-xel/2019-First-Quarter-Earnings-Report-Presentation.pdf
2026-07-10T17:33:54.701813 OK 734,449 bytes -> /workspace/XEL/investor-documents/ir-xel/Xcel-Energy-First-Quarter-2019-Earnings-Report.pdf
2026-07-10T17:33:55.340243 OK 408,693 bytes -> /workspace/XEL/investor-documents/ir-xel/2019-Second-Quarter-Earnings-Report-Presentation.pdf
2026-07-10T17:33:56.013826 OK 836,870 bytes -> /workspace/XEL/investor-documents/ir-xel/Xcel-Energy-Second-Quarter-2019-Earnings-Report.pdf
2026-07-10T17:33:56.636639 OK 272,874 bytes -> /workspace/XEL/investor-documents/ir-xel/2019-Third-Quarter-Earnings-Report-Presentation.pdf
2026-07-10T17:33:57.286686 OK 665,616 bytes -> /workspace/XEL/investor-documents/ir-xel/Xcel-Energy-Third-Quarter-2019-Earnings-Report.pdf
2026-07-10T17:33:57.888435 OK 603,914 bytes -> /workspace/XEL/investor-documents/ir-xel/2019-Year-End-Earnings-Report-Presentation.pdf
2026-07-10T17:33:58.479153 OK 247,863 bytes -> /workspace/XEL/investor-documents/ir-xel/Xcel-Energy-2019-Year-End-Earnings-Report.pdf
2026-07-10T17:33:59.628574 OK 6,353,433 bytes -> /workspace/XEL/investor-documents/ir-xel/Xcel_Energy-AR2020.pdf
2026-07-10T17:34:00.263482 OK 624,952 bytes -> /workspace/XEL/investor-documents/ir-xel/2020-First-Quarter-Earnings-Report-Presentation.pdf
2026-07-10T17:34:00.825582 OK 248,506 bytes -> /workspace/XEL/investor-documents/ir-xel/Xcel-Energy-First-Quarter-2020-Earnings-Report.pdf
2026-07-10T17:34:01.450281 OK 692,091 bytes -> /workspace/XEL/investor-documents/ir-xel/2020-Second-Quarter-Earnings-Report-Presentation.pdf
2026-07-10T17:34:02.169227 OK 345,358 bytes -> /workspace/XEL/investor-documents/ir-xel/Xcel-Energy-Second-Quarter-2020-Earnings-Report.pdf
2026-07-10T17:34:02.761344 OK 737,609 bytes -> /workspace/XEL/investor-documents/ir-xel/2020-Third-Quarter-Earnings-Report-Presentation.pdf
2026-07-10T17:34:03.419225 OK 309,050 bytes -> /workspace/XEL/investor-documents/ir-xel/Xcel-Energy-Third-Quarter-2020-Earnings-Report.pdf
